"name","mean","sd","min"
"be",0.0310805078475668,1.10939917858933,-9.6
"hco3",24.1148881808048,1.05702905094995,16.6
"paco2",31.1944297566317,3.62043266923319,26.3
"pao2",101.759835354004,16.7692648571558,42.9
"ph",7.40130169973069,0.016939763107531,7.239
"sao2",99.4270620209334,1.72529630849234,74
"hb",13.7394504236996,1.89647291220608,7.6
"hct",41.1286073651708,5.60954830442158,22
"lymphocyte",10.4922357920074,12.9951087365532,2
"platelet",210.024751156665,53.5532756020008,44
"wbc",7.49003161716106,2.46118659763175,2.63
"albumin",3.91256843808265,0.373970085644655,2.3
"alp",69.0801675068315,23.1586244235004,33
"alt",23.4734682200673,21.3023589301784,6
"ast",26.3882054671547,19.3490372204045,11
"bun",15.3814405784806,5.70418972832885,6
"calcium",8.8973384368002,0.434920817658437,7.3
"chloride",101.708347719717,3.16711391587594,92
"ck",131.133376081445,104.678507224035,15
"creatinine",0.871474612554134,0.510807823117531,0.41
"glucose",103.180553226332,37.2381533187297,78
"lacate",1.33632668764612,0.405325564996169,0.5
"phosphorus",3.50203119296826,0.453742350842963,1.7
"potassium",4.03673164379643,0.293803958324843,3
"sodium",139.504217265633,2.17035528691542,128
"total_bilirubin",0.755472087127228,0.474603254355183,0.3
"total_protein",6.42212313429155,0.524326623560648,4.3
"aptt",30.4897611695883,3.40654657005551,24
"d_dimer",0.382245398001361,14.2281742596853,0.3
"fibrinogen",304.858230820073,48.4695221765547,118
"ptinr",1.01920207361225,0.114346223881579,0.88
"ckmb",2.4585267685387,4.08876315177497,0.4
"crp",0.923990174510945,2.53318356322751,0.01
"hba1c",4.86577208022176,0.369215947769405,4.8
"troponin_i",0.119932394272411,1.29108290973771,0.01
"troponin_t",0.00806488670130908,0.00748463472802261,0.006
